SMILES,MW,ClogP,ClogS,TPSA,HBA,HBD,Rotatable Bonds
CC(C)n(cc1)nc1NS(c(cc1)cc(O)c1Cl)(=O)=O,315.78200000000004,2.6238000000000015,76.53730000000003,84.22,5,2,4
CC(C)[C@@H](C)n1nccc1NC(C(C(N1)=O)=CN=C1SC)=O,321.40600000000006,2.1575999999999995,86.36790000000005,92.66999999999999,6,2,5
CC(C)[C@H](C)n1nccc1NC(C(C(N1)=O)=CN=C1SC)=O,321.40600000000006,2.1575999999999995,86.36790000000005,92.66999999999999,6,2,5
C[C@@H](CC[N@H+](Cc1ccc(C(OC)=O)s1)C1)[C@@H]1n1cncc1,320.438,1.3971999999999993,85.10420000000005,48.56,5,1,4
C[C@H](CC[N@H+](Cc1ccc(C(OC)=O)s1)C1)[C@@H]1n1cncc1,320.438,1.3971999999999993,85.10420000000005,48.56,5,1,4
CC(C)=CCN1[C@H](CCO)C[N@H+](Cc2c(C)ccs2)CC1,309.4990000000001,1.47422,89.95150000000005,27.91,3,2,6
CCOC(N(CC1)CCC1[N@@H+]1C[C@H](CSC)CCC1)=O,301.4760000000001,1.2651999999999999,83.41970000000006,33.980000000000004,3,1,4
CCOC(N(CC1)CCC1[N@@H+]1C[C@@H](CSC)CCC1)=O,301.4760000000001,1.2651999999999999,83.41970000000006,33.980000000000004,3,1,4
CC(C)C[C@@H](CN(CC1)C(c2ccc(C[NH+](C)C)o2)=O)[C@]1(C)O,323.4570000000001,1.1833000000000007,89.31200000000005,58.120000000000005,3,2,5
CC(C)Cc1ccc(C[N@@H+]2C[C@H](CO)[C@H](CN(C)C)C2)s1,311.51500000000004,1.1314000000000002,89.88150000000006,27.910000000000004,3,2,7
CC[C@@H](CCCC1)[N@@H+]1[C@H](CC(N1c(cc2)ccc2OC)=O)C1=O,317.4090000000001,1.1744999999999994,87.65170000000006,51.050000000000004,3,1,4
CCC[NH+](CC1)CCN1C(Nc1cc(C(C)=O)ccc1)=S,306.455,1.1965,90.09490000000004,36.78,2,2,4
C[N@@H+](C[C@@H](c1cccs1)N1CCOCC1)C[C@@H]1OCCCC1,325.4980000000001,1.2052000000000003,89.66370000000006,26.14,4,1,6
C[N@@H+](C[C@@H](c1cccs1)N1CCOCC1)C[C@H]1OCCCC1,325.4980000000001,1.2052000000000003,89.66370000000006,26.14,4,1,6
C[C@H]1S[C@@H](C)C[N@@H+](C[C@H](CN2c3ccccc3)OC2=O)C1,307.4390000000001,1.4204999999999997,86.13570000000006,33.980000000000004,3,1,3
CC(C)=CCN1[C@@H](CCO)C[N@H+](Cc2ccc(C)s2)CC1,309.4990000000001,1.47422,89.95150000000005,27.91,3,2,6
CC(C)[N@@H+]1C[C@@H](CNC(/C=C/c2csc(C)n2)=O)CCC1,308.4710000000002,1.28422,87.45140000000005,46.43,3,2,5
CC(C)[N@@H+]1C[C@H](CNC(/C=C/c2csc(C)n2)=O)CCC1,308.4710000000002,1.28422,87.45140000000005,46.43,3,2,5
CC[C@H](CCCC1)[N@@H+]1[C@H](CC(N1c(cc2)ccc2OC)=O)C1=O,317.4090000000001,1.1744999999999994,87.65170000000006,51.050000000000004,3,1,4
CC(C)(C)OC(N(CC1)CCC1[N@@H+](C)Cc1cncs1)=O,312.459,1.5573000000000001,83.53370000000005,46.870000000000005,4,1,3
Cc1c(C[N@@H+](C)C[C@@H](CC2)CN2C(C2CC=CC2)=O)scn1,320.48199999999997,1.2809199999999998,88.85970000000005,37.64,3,1,5
CC[N@@H+](CCC1)[C@H]1[C@@H](CCC1)N1C(c(scc1)c1OC)=O,309.45500000000004,1.4284999999999997,84.32220000000007,33.980000000000004,3,1,4
CC[N@@H+](CCC1)[C@@H]1[C@@H](CCC1)N1C(c(scc1)c1OC)=O,309.45500000000004,1.4284999999999997,84.32220000000007,33.980000000000004,3,1,4
CC(C)=CCN1[C@@H](CCO)C[N@H+](Cc2c(C)ccs2)CC1,309.4990000000001,1.47422,89.95150000000005,27.91,3,2,6
C[C@H](C(N[C@@H](C)c(ccnc1)c1OC)=O)[N@H+]1[C@@H](C)CC[C@H]1C,306.43000000000006,1.1116000000000006,85.92940000000006,55.660000000000004,3,2,5
CC(C)(C)SCCNC(N(CCC1)[C@H]2[C@@H]1C[N@@H+](C)CC2)=O,314.5190000000001,1.2267000000000012,90.06540000000005,36.78,2,2,3
CSc1c(CN(CC2)CCC2[N@@H+](CCC2)C[C@H]2O)cccc1,321.51,1.4125000000000005,92.45950000000005,27.91,3,2,4
CSc1c(CN(CC2)CCC2[N@@H+](CCC2)C[C@@H]2O)cccc1,321.51,1.4125000000000005,92.45950000000005,27.91,3,2,4
CC([C@@H]([NH2+]Cc1cccs1)N1C[C@H]2OCCC2)=C(C)C1=O,307.439,1.4951999999999992,82.79740000000005,46.150000000000006,3,1,5
CC([C@H]([NH2+]Cc1cccs1)N1C[C@H]2OCCC2)=C(C)C1=O,307.439,1.4951999999999992,82.79740000000005,46.150000000000006,3,1,5
CC([C@@H]([NH2+]Cc1cccs1)N1C[C@@H]2OCCC2)=C(C)C1=O,307.439,1.4951999999999992,82.79740000000005,46.150000000000006,3,1,5
